id,name,location,available number of rooms,standard,price per night,amenities,type of meal plan,meal preference,required car parking space,good review count,bad review count,rating,hotel_description,distance_from_city_center,check_in_time,check_out_time
JPN0917,Central Plaza Suites,Toronto,176,Standard,18000,"Parking, Room Service, Onsen, Free Breakfast, Fitness Center",Full Board,Jain,False,778,735,3,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,12:00
JPN0918,Central Plaza Suites,Mexico City,148,Standard,17000,"Wi-Fi, Spa, Business Center, Fitness Center",Full Board,Jain,False,2877,244,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0919,Pine Hill Haven,Prague,76,Premium,30000,"Room Service, Bar, Wi-Fi, Business Center, Restaurant",Bed & Breakfast,Non Veg,True,331,39,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,12:00
JPN0920,Lakeside Retreat,Berlin,162,Standard,12000,"Free Breakfast, Business Center, Room Service, Parking, Spa, Onsen",All-Inclusive,Non veg without Beef,False,18,999,1,A comfortable and convenient hotel offering excellent services and amenities.,19 km,15:00,12:00
JPN0921,The Grand Palace,Beijing,41,Premium,25000,"Room Service, Business Center, Parking, Fitness Center, Wi-Fi, Spa",Half Board,Veg,False,3439,653,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,10:00
JPN0922,Royal Garden Hotel,Marrakech,198,Luxury,48000,"Bar, Business Center, Parking, Fitness Center",Half Board,Jain,False,1350,299,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,14:00,12:00
JPN0923,Forest Glade Resort,Budapest,19,Standard,14000,"Restaurant, Pet-friendly, Bar, Fitness Center, Room Service",Bed & Breakfast,Vegan,False,2521,85,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,12:00
JPN0924,Hilltop Luxury Inn,Cairo,231,Luxury,54000,"Pet-friendly, Restaurant, Spa, Free Breakfast, Wi-Fi, Room Service",All-Inclusive,Jain,True,1433,666,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,15:00,11:00
JPN0925,Central Plaza Suites,Budapest,285,Budget,12000,"Room Service, Pet-friendly, Onsen",Half Board,Vegan,False,906,528,4,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,10:00
JPN0926,Hilltop Luxury Inn,Amsterdam,135,Budget,9000,"Wi-Fi, Restaurant, Parking, Business Center, Pet-friendly, Room Service",Bed & Breakfast,Both,True,2594,946,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,14:00,12:00
JPN0927,Lakeside Retreat,Madrid,84,Luxury,45000,"Fitness Center, Parking, Spa",All-Inclusive,Jain,False,4768,410,5,A comfortable and convenient hotel offering excellent services and amenities.,16 km,16:00,11:00
JPN0928,Sunset Boulevard Hotel,Brussels,143,Budget,6000,"Restaurant, Fitness Center, Business Center, Onsen",Full Board,Non veg without Beef,False,2696,757,4,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,10:00
JPN0929,Mountain View Lodge,Marrakech,31,Budget,6000,"Spa, Free Breakfast, Business Center, Fitness Center, Room Service, Wi-Fi",Half Board,Vegan,False,3307,490,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,11:00
JPN0930,Royal Garden Hotel,Warsaw,5,Budget,5000,"Restaurant, Fitness Center, Parking, Spa, Wi-Fi, Business Center",Half Board,Non Veg,False,1054,276,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,11:00
JPN0931,Seaside Serenity Resort,Paris,104,Luxury,41000,"Room Service, Onsen, Parking, Spa, Business Center, Bar",Full Board,Veg,True,3217,623,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,12:00
JPN0932,Ocean Pearl Inn,Marrakech,162,Premium,26000,"Restaurant, Wi-Fi, Parking, Bar, Pet-friendly, Free Breakfast",All-Inclusive,Jain,True,4094,266,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,11:00
JPN0933,Vista Veranda,Hong Kong,287,Standard,17000,"Restaurant, Wi-Fi, Bar, Fitness Center",Bed & Breakfast,Non Veg,True,161,737,1,A comfortable and convenient hotel offering excellent services and amenities.,19 km,16:00,11:00
JPN0934,Seaside Serenity Resort,Prague,289,Luxury,35000,"Onsen, Spa, Restaurant, Free Breakfast, Bar",Full Board,Veg,True,2730,444,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,10:00
JPN0935,City Lights Inn,Mexico City,245,Standard,14000,"Spa, Bar, Business Center, Parking, Fitness Center",Half Board,Vegan,True,4643,833,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,12:00
JPN0936,Golden Bay Resort,Barcelona,180,Standard,12000,"Wi-Fi, Onsen, Room Service, Parking, Free Breakfast",Full Board,Jain,False,1183,622,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,10:00
JPN0937,The Heritage Palace,Budapest,58,Budget,12000,"Pet-friendly, Parking, Wi-Fi, Spa, Restaurant",Half Board,Non veg without Beef,True,1253,704,4,A comfortable and convenient hotel offering excellent services and amenities.,6 km,16:00,12:00
JPN0938,Urban Oasis Hotel,Rome,185,Premium,20000,"Bar, Spa, Parking, Fitness Center",Full Board,Both,True,3957,472,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,12:00
JPN0939,Ocean Pearl Inn,Zurich,175,Standard,18000,"Onsen, Bar, Free Breakfast, Pet-friendly",Bed & Breakfast,Non Veg,True,2230,746,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,15:00,11:00
JPN0940,Sunset Boulevard Hotel,Budapest,31,Standard,12000,"Spa, Wi-Fi, Business Center, Restaurant, Free Breakfast, Room Service",All-Inclusive,Vegan,True,2528,13,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,14:00,12:00
JPN0941,Forest Glade Resort,Zurich,37,Premium,30000,"Bar, Fitness Center, Business Center, Wi-Fi, Free Breakfast, Pet-friendly",Bed & Breakfast,Jain,True,4504,955,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,10:00
JPN0942,Royal Garden Hotel,Cairo,272,Budget,6000,"Room Service, Fitness Center, Spa, Wi-Fi, Business Center, Pet-friendly",All-Inclusive,Non Veg,False,80,964,1,A comfortable and convenient hotel offering excellent services and amenities.,18 km,14:00,10:00
JPN0943,Seaside Serenity Resort,Berlin,55,Standard,19000,"Onsen, Wi-Fi, Business Center, Pet-friendly",Room Only,,True,1018,833,3,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,12:00
JPN0944,Pine Hill Haven,Singapore,142,Standard,16000,"Wi-Fi, Onsen, Fitness Center, Free Breakfast, Business Center, Parking",Half Board,Vegan,False,1583,14,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,15:00,11:00
JPN0945,Forest Glade Resort,Hong Kong,25,Budget,12000,"Free Breakfast, Room Service, Restaurant",All-Inclusive,Vegan,True,93,646,1,A comfortable and convenient hotel offering excellent services and amenities.,14 km,15:00,12:00
JPN0946,City Lights Inn,Brussels,164,Premium,21000,"Bar, Pet-friendly, Parking, Onsen, Free Breakfast",Bed & Breakfast,Vegan,False,4173,536,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,11:00
JPN0947,Lakeside Retreat,Shanghai,197,Standard,16000,"Wi-Fi, Onsen, Free Breakfast, Restaurant, Parking",Room Only,,False,2773,697,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,10:00
JPN0948,Golden Bay Resort,Paris,61,Standard,15000,"Restaurant, Parking, Bar",Half Board,Vegan,False,3995,896,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,12:00
JPN0949,Forest Glade Resort,Dubai,267,Budget,8000,"Wi-Fi, Parking, Bar",All-Inclusive,Non Veg,False,2798,510,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,10:00
JPN0950,Central Plaza Suites,Kuala Lumpur,112,Standard,14000,"Room Service, Pet-friendly, Onsen, Wi-Fi, Business Center, Restaurant",Full Board,Non Veg,False,1673,597,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,11:00
JPN0951,Sunset Boulevard Hotel,Berlin,250,Luxury,48000,"Room Service, Fitness Center, Free Breakfast, Parking, Restaurant, Pet-friendly",All-Inclusive,Both,True,4269,981,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,15:00,10:00
JPN0952,Seaside Serenity Resort,Cape Town,110,Premium,26000,"Spa, Pet-friendly, Onsen, Free Breakfast",Full Board,Vegan,True,3928,469,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,11:00
JPN0953,Forest Glade Resort,Sydney,173,Standard,17000,"Fitness Center, Restaurant, Onsen, Bar, Pet-friendly, Wi-Fi",Bed & Breakfast,Non veg without Beef,False,1483,945,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,12:00
JPN0954,Seaside Serenity Resort,Lisbon,144,Standard,17000,"Parking, Free Breakfast, Bar, Fitness Center, Wi-Fi",Bed & Breakfast,Non Veg,False,4993,577,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,16:00,10:00
JPN0955,Ocean Pearl Inn,San Francisco,265,Standard,19000,"Business Center, Pet-friendly, Spa, Onsen, Fitness Center, Bar",All-Inclusive,Veg,True,2855,377,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0956,Central Plaza Suites,New York,80,Budget,10000,"Onsen, Room Service, Spa, Parking",Full Board,Jain,False,2791,649,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,16:00,12:00
JPN0957,Pine Hill Haven,San Francisco,217,Budget,8000,"Pet-friendly, Bar, Free Breakfast, Parking",Room Only,,False,2872,693,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,14:00,10:00
JPN0958,Ocean Pearl Inn,Budapest,240,Budget,11000,"Onsen, Business Center, Bar, Fitness Center, Restaurant, Pet-friendly",Half Board,Jain,True,526,104,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,11:00
JPN0959,Palm Grove Resort,Rome,270,Budget,8000,"Pet-friendly, Room Service, Spa",Full Board,Non veg without Beef,False,4872,651,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,15:00,10:00
JPN0960,Seaside Serenity Resort,Seoul,180,Budget,11000,"Restaurant, Parking, Business Center, Wi-Fi, Bar, Pet-friendly",Half Board,Non Veg,True,3170,856,4,A comfortable and convenient hotel offering excellent services and amenities.,9 km,15:00,12:00
JPN0961,Sunset Boulevard Hotel,Bangkok,219,Premium,25000,"Spa, Free Breakfast, Room Service, Bar, Fitness Center",Room Only,,True,850,540,4,A comfortable and convenient hotel offering excellent services and amenities.,16 km,15:00,12:00
JPN0962,Forest Glade Resort,New York,43,Standard,19000,"Free Breakfast, Pet-friendly, Spa, Room Service, Bar",Full Board,Both,False,3823,44,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,16:00,11:00
JPN0963,Royal Garden Hotel,Budapest,233,Budget,6000,"Room Service, Onsen, Bar, Wi-Fi, Fitness Center",Full Board,Veg,True,3875,913,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,14:00,10:00
JPN0964,Urban Oasis Hotel,Lisbon,261,Premium,25000,"Room Service, Onsen, Business Center",Room Only,,True,4978,982,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,12:00
JPN0965,Golden Bay Resort,Zurich,193,Standard,13000,"Onsen, Room Service, Bar, Restaurant",Room Only,,False,1912,535,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,12:00
JPN0966,Central Plaza Suites,Marrakech,207,Budget,8000,"Parking, Restaurant, Spa",All-Inclusive,Jain,False,3855,785,5,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,12:00
JPN0967,Skyline Towers,Rome,194,Premium,29000,"Restaurant, Pet-friendly, Onsen",Room Only,,False,1769,490,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,15:00,12:00
JPN0968,City Lights Inn,London,259,Budget,12000,"Fitness Center, Restaurant, Bar",Room Only,,True,4496,156,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,11:00
JPN0969,The Grand Palace,London,207,Budget,12000,"Pet-friendly, Wi-Fi, Restaurant",Half Board,Vegan,False,1432,397,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,11:00
JPN0970,Pine Hill Haven,Beijing,261,Standard,14000,"Restaurant, Onsen, Spa, Free Breakfast, Pet-friendly",Half Board,Both,True,3588,848,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,15:00,10:00
JPN0971,City Lights Inn,Singapore,240,Budget,8000,"Room Service, Pet-friendly, Wi-Fi, Restaurant, Free Breakfast",Room Only,,True,2010,733,4,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,10:00
JPN0972,Vista Veranda,Singapore,71,Budget,9000,"Bar, Wi-Fi, Onsen, Restaurant, Parking, Pet-friendly",Full Board,Non veg without Beef,True,1363,333,5,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,11:00
JPN0973,Pine Hill Haven,Mexico City,117,Budget,11000,"Business Center, Onsen, Fitness Center, Wi-Fi, Bar, Parking",All-Inclusive,Non veg without Beef,True,2488,488,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0974,The Heritage Palace,Rome,47,Standard,14000,"Parking, Onsen, Spa, Restaurant, Pet-friendly",All-Inclusive,Non veg without Beef,False,3873,366,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,10:00
JPN0975,Ocean Pearl Inn,Moscow,275,Budget,6000,"Onsen, Business Center, Spa, Fitness Center, Bar",Room Only,,True,1709,888,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,11:00
JPN0976,Ocean Pearl Inn,Shanghai,133,Budget,11000,"Spa, Fitness Center, Room Service",Bed & Breakfast,Jain,False,1400,684,4,A comfortable and convenient hotel offering excellent services and amenities.,11 km,15:00,10:00
JPN0977,Golden Bay Resort,Istanbul,129,Budget,5000,"Onsen, Wi-Fi, Business Center, Pet-friendly, Restaurant",Room Only,,True,4745,227,5,A comfortable and convenient hotel offering excellent services and amenities.,18 km,15:00,11:00
JPN0978,Skyline Towers,Budapest,190,Standard,15000,"Restaurant, Room Service, Parking",Room Only,,False,4522,382,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,15:00,10:00
JPN0979,City Lights Inn,Mexico City,288,Luxury,30000,"Pet-friendly, Onsen, Free Breakfast, Restaurant, Spa, Wi-Fi",Room Only,,True,2867,461,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,14:00,11:00
JPN0980,Golden Bay Resort,Beijing,44,Premium,25000,"Parking, Room Service, Free Breakfast, Pet-friendly, Onsen",Half Board,Non veg without Beef,False,1680,409,5,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,12:00
JPN0981,Lakeside Retreat,Brussels,19,Premium,21000,"Spa, Business Center, Fitness Center, Room Service, Parking",Half Board,Both,False,4978,219,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,11:00
JPN0982,Seaside Serenity Resort,Dublin,278,Budget,12000,"Fitness Center, Wi-Fi, Parking, Bar, Room Service, Business Center",Full Board,Non Veg,True,3790,4,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,14:00,10:00
JPN0983,Azure Coast Retreat,Paris,45,Premium,23000,"Bar, Parking, Free Breakfast, Restaurant",Room Only,,False,2713,398,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,10:00
JPN0984,Golden Bay Resort,Zurich,30,Budget,9000,"Business Center, Wi-Fi, Restaurant",All-Inclusive,Non veg without Beef,False,402,577,3,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,10:00
JPN0985,Lakeside Retreat,Cairo,287,Standard,17000,"Pet-friendly, Fitness Center, Free Breakfast",All-Inclusive,Jain,False,3054,97,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,10:00
JPN0986,Sunset Boulevard Hotel,Bangkok,201,Standard,20000,"Bar, Restaurant, Wi-Fi, Parking, Pet-friendly",Room Only,,True,3133,389,5,A comfortable and convenient hotel offering excellent services and amenities.,18 km,16:00,11:00
JPN0987,Royal Garden Hotel,Cape Town,236,Standard,20000,"Room Service, Bar, Pet-friendly, Parking, Business Center, Onsen",All-Inclusive,Both,False,1902,818,4,A comfortable and convenient hotel offering excellent services and amenities.,16 km,15:00,12:00
JPN0988,City Lights Inn,Sydney,109,Standard,18000,"Wi-Fi, Restaurant, Parking, Fitness Center",Full Board,Veg,True,2006,514,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,16:00,11:00
JPN0989,Skyline Towers,Vienna,273,Luxury,44000,"Spa, Fitness Center, Free Breakfast, Bar, Wi-Fi, Parking",Full Board,Vegan,True,3044,699,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,10:00
JPN0990,Skyline Towers,Vienna,26,Budget,12000,"Wi-Fi, Free Breakfast, Restaurant, Fitness Center, Bar",Room Only,,True,419,649,2,A comfortable and convenient hotel offering excellent services and amenities.,2 km,15:00,11:00
JPN0991,Royal Garden Hotel,Singapore,137,Budget,11000,"Business Center, Room Service, Restaurant, Fitness Center, Onsen",Room Only,,True,2384,675,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,15:00,12:00
JPN0992,Ocean Pearl Inn,Rio de Janeiro,35,Premium,27000,"Spa, Onsen, Bar, Fitness Center, Room Service, Pet-friendly",Room Only,,True,29,982,1,A comfortable and convenient hotel offering excellent services and amenities.,7 km,16:00,11:00
JPN0993,City Lights Inn,Shanghai,158,Premium,22000,"Free Breakfast, Parking, Fitness Center, Room Service",Half Board,Non Veg,False,789,712,3,A comfortable and convenient hotel offering excellent services and amenities.,7 km,16:00,12:00
JPN0994,Royal Garden Hotel,Buenos Aires,224,Budget,12000,"Bar, Wi-Fi, Parking, Pet-friendly, Fitness Center, Onsen",All-Inclusive,Jain,True,4195,826,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,10:00
JPN0995,Mountain View Lodge,Kuala Lumpur,6,Budget,9000,"Pet-friendly, Business Center, Onsen, Restaurant",Room Only,,True,3178,516,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,12:00
JPN0996,Metropolitan Grand,Shanghai,98,Budget,8000,"Parking, Fitness Center, Restaurant, Room Service",Full Board,Veg,False,2492,564,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,12:00
JPN0997,Sunset Boulevard Hotel,Seoul,245,Budget,6000,"Business Center, Bar, Wi-Fi, Room Service, Fitness Center",Bed & Breakfast,Non Veg,True,3178,722,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,11:00
JPN0998,City Lights Inn,Singapore,93,Luxury,37000,"Pet-friendly, Bar, Spa",Room Only,,True,2259,860,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,15:00,12:00
JPN0999,Central Plaza Suites,London,275,Standard,16000,"Parking, Restaurant, Room Service, Spa, Onsen, Business Center",Full Board,Jain,True,3625,300,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,12:00
JPN1000,Pine Hill Haven,Berlin,264,Budget,10000,"Wi-Fi, Restaurant, Business Center, Spa, Onsen",Room Only,,True,2126,42,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,12:00
JPN1001,The Heritage Palace,Bangkok,200,Budget,7000,"Wi-Fi, Room Service, Spa, Restaurant, Free Breakfast, Fitness Center",Bed & Breakfast,Non Veg,False,4345,371,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,10:00
JPN1002,Golden Bay Resort,Brussels,174,Premium,29000,"Free Breakfast, Parking, Spa, Room Service",Full Board,Both,False,1591,533,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,11:00
JPN1003,Skyline Towers,Kuala Lumpur,241,Premium,20000,"Pet-friendly, Fitness Center, Business Center",All-Inclusive,Both,True,2658,495,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,12:00
JPN1004,Skyline Towers,Tokyo,40,Premium,25000,"Fitness Center, Free Breakfast, Onsen, Wi-Fi, Pet-friendly, Restaurant",Room Only,,False,692,107,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,11:00
JPN1005,Skyline Towers,Singapore,261,Luxury,47000,"Pet-friendly, Free Breakfast, Fitness Center, Spa, Wi-Fi, Parking",Full Board,Both,True,565,357,4,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,12:00
JPN1006,Mountain View Lodge,Vienna,202,Premium,21000,"Onsen, Parking, Free Breakfast",All-Inclusive,Jain,True,2565,502,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,16:00,12:00
JPN1007,Skyline Towers,Brussels,299,Standard,18000,"Onsen, Spa, Bar, Restaurant, Business Center",Room Only,,True,2346,120,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,12:00
JPN1008,Pine Hill Haven,Paris,138,Budget,12000,"Room Service, Spa, Restaurant",Half Board,Jain,False,543,506,3,A comfortable and convenient hotel offering excellent services and amenities.,1 km,15:00,11:00
JPN1009,Lakeside Retreat,Beijing,66,Standard,15000,"Room Service, Restaurant, Fitness Center, Wi-Fi",Full Board,Both,False,2070,780,4,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,12:00
JPN1010,Azure Coast Retreat,Marrakech,71,Premium,20000,"Spa, Pet-friendly, Free Breakfast, Business Center",All-Inclusive,Veg,True,986,854,3,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,11:00
JPN1011,Metropolitan Grand,Lisbon,197,Premium,29000,"Room Service, Wi-Fi, Parking, Business Center, Restaurant",All-Inclusive,Non veg without Beef,False,2407,895,4,A comfortable and convenient hotel offering excellent services and amenities.,19 km,16:00,10:00
JPN1012,City Lights Inn,Sydney,6,Standard,17000,"Wi-Fi, Business Center, Room Service",All-Inclusive,Jain,True,3031,958,4,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,12:00
JPN1013,Metropolitan Grand,Dublin,267,Premium,26000,"Pet-friendly, Room Service, Spa",All-Inclusive,Both,False,1585,467,4,A comfortable and convenient hotel offering excellent services and amenities.,11 km,14:00,10:00
JPN1014,Palm Grove Resort,Budapest,63,Premium,30000,"Room Service, Fitness Center, Onsen",Full Board,Non veg without Beef,True,1086,938,3,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,12:00
JPN1015,The Grand Palace,Los Angeles,115,Standard,19000,"Free Breakfast, Business Center, Bar, Pet-friendly, Room Service, Onsen",Room Only,,True,595,490,3,A comfortable and convenient hotel offering excellent services and amenities.,1 km,15:00,10:00
JPN1016,Forest Glade Resort,Cape Town,47,Premium,29000,"Wi-Fi, Free Breakfast, Parking",Bed & Breakfast,Non veg without Beef,True,2925,188,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,16:00,10:00
JPN1017,The Heritage Palace,Toronto,128,Luxury,43000,"Restaurant, Onsen, Pet-friendly, Free Breakfast",Half Board,Both,False,4225,826,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,15:00,11:00
JPN1018,Forest Glade Resort,San Francisco,75,Premium,29000,"Bar, Onsen, Spa, Wi-Fi, Room Service, Fitness Center",Full Board,Both,True,1853,731,4,A comfortable and convenient hotel offering excellent services and amenities.,6 km,16:00,10:00
JPN1019,Pine Hill Haven,Vienna,290,Budget,11000,"Parking, Bar, Business Center, Pet-friendly, Room Service",Full Board,Non veg without Beef,False,364,389,3,A comfortable and convenient hotel offering excellent services and amenities.,18 km,15:00,12:00
JPN1020,Lakeside Retreat,Hong Kong,231,Standard,13000,"Wi-Fi, Parking, Restaurant, Room Service, Pet-friendly, Bar",Full Board,Both,False,35,856,1,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,11:00
JPN1021,Palm Grove Resort,Beijing,300,Standard,20000,"Fitness Center, Parking, Spa",Full Board,Non veg without Beef,True,1593,830,4,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,10:00
JPN1022,Azure Coast Retreat,Mexico City,199,Budget,10000,"Fitness Center, Onsen, Room Service, Bar",Full Board,Non veg without Beef,True,2562,926,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,15:00,12:00
JPN1023,Azure Coast Retreat,Stockholm,181,Luxury,43000,"Restaurant, Business Center, Fitness Center, Onsen",All-Inclusive,Veg,True,1629,536,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,10:00
JPN1024,Ocean Pearl Inn,Cairo,202,Budget,5000,"Spa, Business Center, Wi-Fi, Fitness Center, Free Breakfast, Parking",Full Board,Non Veg,False,4527,549,5,A comfortable and convenient hotel offering excellent services and amenities.,6 km,14:00,10:00
JPN1025,Mountain View Lodge,Seoul,64,Budget,8000,"Parking, Bar, Room Service",All-Inclusive,Non veg without Beef,False,1239,369,4,A comfortable and convenient hotel offering excellent services and amenities.,6 km,15:00,12:00
JPN1026,City Lights Inn,Mexico City,29,Premium,20000,"Fitness Center, Pet-friendly, Spa, Free Breakfast, Bar",Half Board,Non Veg,True,2896,899,4,A comfortable and convenient hotel offering excellent services and amenities.,6 km,16:00,11:00
JPN1027,Sunset Boulevard Hotel,Buenos Aires,252,Standard,17000,"Free Breakfast, Fitness Center, Restaurant",Full Board,Non Veg,True,1540,859,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,11:00
JPN1028,Royal Garden Hotel,Hong Kong,203,Luxury,44000,"Onsen, Wi-Fi, Business Center, Restaurant, Parking, Room Service",Full Board,Vegan,False,4484,66,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,10:00
JPN1029,Forest Glade Resort,Edinburgh,125,Premium,27000,"Room Service, Fitness Center, Spa",All-Inclusive,Non veg without Beef,False,2923,888,4,A comfortable and convenient hotel offering excellent services and amenities.,16 km,15:00,12:00
JPN1030,Seaside Serenity Resort,Istanbul,120,Budget,10000,"Spa, Free Breakfast, Wi-Fi, Bar, Fitness Center, Room Service",Room Only,,True,1410,819,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,16:00,12:00
JPN1031,Sunset Boulevard Hotel,Cairo,265,Standard,20000,"Onsen, Room Service, Restaurant, Wi-Fi, Bar",Room Only,,True,26,180,1,A comfortable and convenient hotel offering excellent services and amenities.,6 km,14:00,12:00
JPN1032,The Grand Palace,Cairo,290,Luxury,46000,"Spa, Restaurant, Business Center",Half Board,Both,False,4146,712,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,15:00,11:00
JPN1033,Lakeside Retreat,Hong Kong,206,Standard,16000,"Room Service, Free Breakfast, Parking, Pet-friendly, Business Center, Spa",Full Board,Non Veg,True,3308,7,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,10:00
JPN1034,Sunset Boulevard Hotel,Cairo,181,Budget,8000,"Pet-friendly, Parking, Free Breakfast",Half Board,Non Veg,False,3552,814,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,12:00
JPN1035,Golden Bay Resort,Berlin,128,Luxury,53000,"Onsen, Bar, Business Center",All-Inclusive,Non veg without Beef,False,1732,969,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,12:00
JPN1036,Royal Garden Hotel,New York,145,Budget,10000,"Spa, Bar, Free Breakfast, Room Service, Parking, Business Center",Room Only,,True,1936,649,4,A comfortable and convenient hotel offering excellent services and amenities.,13 km,14:00,10:00
JPN1037,Palm Grove Resort,Mumbai,84,Standard,18000,"Bar, Restaurant, Fitness Center, Business Center, Onsen, Pet-friendly",Half Board,Both,True,78,229,2,A comfortable and convenient hotel offering excellent services and amenities.,13 km,15:00,11:00
